# Generated by scripts/generate-open-source-licenses.sh
Fira Code	6.2-103-ge50b177	SIL OFL-1.1
IBM Plex Sans	3.005	SIL OFL-1.1
Lilex	2.621	SIL OFL-1.1
accesskit	0.25.0	MIT OR Apache-2.0
accesskit_atspi_common	0.20.0	MIT OR Apache-2.0
accesskit_consumer	0.39.0	MIT OR Apache-2.0
accesskit_macos	0.27.0	MIT OR Apache-2.0
accesskit_unix	0.23.0	MIT OR Apache-2.0
accesskit_windows	0.35.0	MIT OR Apache-2.0
addr2line	0.25.1	Apache-2.0 OR MIT
adler2	2.0.1	0BSD OR MIT OR Apache-2.0
aes	0.8.4	MIT OR Apache-2.0
ahash	0.8.12	MIT OR Apache-2.0
aho-corasick	1.1.5	Unlicense OR MIT
alacritty_terminal	0.26.0	Apache-2.0
aligned	0.4.3	MIT OR Apache-2.0
aligned-vec	0.6.4	MIT
alloca	0.4.0	MIT
allocator-api2	0.2.21	MIT OR Apache-2.0
android_system_properties	0.1.6	MIT OR Apache-2.0
anes	0.1.6	MIT OR Apache-2.0
anstream	1.0.0	MIT OR Apache-2.0
anstyle	1.0.14	MIT OR Apache-2.0
anstyle-parse	1.0.0	MIT OR Apache-2.0
anstyle-query	1.1.5	MIT OR Apache-2.0
anstyle-wincon	3.0.11	MIT OR Apache-2.0
anyhow	1.0.104	MIT OR Apache-2.0
approx	0.5.1	Apache-2.0
arbitrary	1.4.2	MIT OR Apache-2.0
arc-swap	1.9.2	MIT OR Apache-2.0
arg_enum_proc_macro	0.3.4	MIT
arrayref	0.3.9	BSD-2-Clause
arrayvec	0.7.8	MIT OR Apache-2.0
as-raw-xcb-connection	1.0.1	MIT OR Apache-2.0
as-slice	0.2.1	MIT OR Apache-2.0
ash	0.38.0+1.3.281	MIT OR Apache-2.0
ashpd	0.13.13	MIT
async-broadcast	0.7.2	MIT OR Apache-2.0
async-channel	2.5.0	Apache-2.0 OR MIT
async-executor	1.14.0	Apache-2.0 OR MIT
async-fs	2.2.0	Apache-2.0 OR MIT
async-io	2.6.0	Apache-2.0 OR MIT
async-lock	3.4.2	Apache-2.0 OR MIT
async-net	2.0.0	Apache-2.0 OR MIT
async-process	2.5.0	Apache-2.0 OR MIT
async-recursion	1.1.1	MIT OR Apache-2.0
async-signal	0.2.14	Apache-2.0 OR MIT
async-task	4.7.1	Apache-2.0 OR MIT
async-trait	0.1.92	MIT OR Apache-2.0
atomic	0.5.3	Apache-2.0/MIT
atomic-waker	1.1.2	Apache-2.0 OR MIT
atspi	0.29.0	Apache-2.0 OR MIT
atspi-common	0.13.0	Apache-2.0 OR MIT
atspi-proxies	0.13.0	Apache-2.0 OR MIT
autocfg	1.5.1	Apache-2.0 OR MIT
av-scenechange	0.14.1	MIT
av1-grain	0.2.5	BSD-2-Clause
avif-serialize	0.8.9	BSD-3-Clause
backtrace	0.3.76	MIT OR Apache-2.0
base64	0.22.1	MIT OR Apache-2.0
base64	0.23.1	MIT OR Apache-2.0
bindgen	0.73.2	BSD-3-Clause
bit-set	0.8.0	Apache-2.0 OR MIT
bit-set	0.9.1	Apache-2.0 OR MIT
bit-vec	0.8.0	Apache-2.0 OR MIT
bit-vec	0.9.1	Apache-2.0 OR MIT
